Trial,Va,Ia_sim
0,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.87445154e-13 5.42779797e-13 1.01794614e-12 4.19152213e-12
 2.88071858e-11 2.21586213e-10 1.73320092e-09 1.35869613e-08
 1.06484978e-07 8.30957679e-07 6.27376654e-06 3.92300893e-05
 1.46718349e-04 3.28621656e-04 5.52176161e-04 7.97782869e-04
 1.05556089e-03 1.32209895e-03 1.59407011e-03 1.86990933e-03
 2.14871171e-03 2.42983040e-03 2.71280080e-03 2.99728315e-03
 3.28302196e-03 3.56982053e-03 3.85752442e-03 4.14601028e-03
 4.43517807e-03 4.72494564e-03 5.01524468e-03 5.30601783e-03
 5.59721646e-03 5.88879900e-03 6.18072965e-03 6.47297736e-03
 6.76551501e-03 7.05831882e-03 7.35136778e-03]"
1,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[1.51418427e-10 2.59818744e-09 4.46902951e-08 7.64011108e-07
 1.18645052e-05 9.47563241e-05 2.83567010e-04 5.24114524e-04
 7.87739092e-04 1.06213490e-03 1.34421427e-03 1.63076274e-03
 1.92038303e-03 2.21234146e-03 2.50611021e-03 2.80131290e-03
 3.09767828e-03 3.39500462e-03 3.69313790e-03 3.99195805e-03
 4.29136973e-03 4.59129599e-03 4.89167389e-03 5.19245127e-03
 5.49358449e-03 5.79503663e-03 6.09677620e-03 6.39877614e-03
 6.70101301e-03 7.00346639e-03 7.30611837e-03 7.60895318e-03
 7.91195684e-03 8.21511691e-03 8.51842226e-03 8.82186291e-03
 9.12542988e-03 9.42911504e-03 9.73291102e-03]"
2,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[5.17168686e-12 4.45219807e-11 4.13240759e-10 3.87090565e-09
 3.62895231e-08 3.39501398e-07 3.11217549e-06 2.45136745e-05
 1.12285376e-04 2.76202461e-04 4.82037164e-04 7.09045279e-04
 9.47204991e-04 1.19334228e-03 1.44429991e-03 1.69864343e-03
 1.95557240e-03 2.21451360e-03 2.47505681e-03 2.73690389e-03
 2.99983168e-03 3.26366906e-03 3.52828209e-03 3.79356407e-03
 4.05942868e-03 4.32580515e-03 4.59263476e-03 4.85986827e-03
 5.12746397e-03 5.39538627e-03 5.66360454e-03 5.93209223e-03
 6.20082620e-03 6.46978614e-03 6.73895413e-03 7.00831432e-03
 7.27785257e-03 7.54755623e-03 7.81741398e-03]"
3,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80586924e-13 5.21575838e-13 5.77018468e-13 6.91611698e-13
 1.13313525e-12 3.33446985e-12 1.50086072e-11 7.76733521e-11
 4.14812089e-10 2.22938401e-09 1.19962269e-08 6.45537215e-08
 3.47007235e-07 1.85436973e-06 9.61224336e-06 4.39009791e-05
 1.45198074e-04 3.26606356e-04 5.63518408e-04 8.32608210e-04
 1.12025042e-03 1.42139182e-03 1.73093823e-03 2.04644540e-03
 2.36650671e-03 2.69011825e-03 3.01655914e-03 3.34530334e-03
 3.67595624e-03 4.00821483e-03 4.34184179e-03 4.67664802e-03
 5.01248055e-03 5.34921401e-03 5.68674439e-03 6.02498452e-03
 6.36386064e-03 6.70330982e-03 7.04327791e-03]"
4,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[9.75732949e-13 5.23962037e-12 4.54930772e-11 4.28383664e-10
 4.07324536e-09 3.87644658e-08 3.68201077e-07 3.43056691e-06
 2.75898817e-05 1.29142032e-04 3.21154436e-04 5.63025716e-04
 8.29978781e-04 1.11007533e-03 1.39957022e-03 1.69472809e-03
 1.99385764e-03 2.29601898e-03 2.60053882e-03 2.90693547e-03
 3.21485908e-03 3.52404796e-03 3.83430150e-03 4.14546272e-03
 4.45740662e-03 4.77003212e-03 5.08325634e-03 5.39701054e-03
 5.71123706e-03 6.02588711e-03 6.34091904e-03 6.65629700e-03
 6.97198993e-03 7.28797077e-03 7.60421575e-03 7.92070393e-03
 8.23741676e-03 8.55433769e-03 8.87145197e-03]"
5,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[1.85159217e-09 2.79721759e-08 4.21453054e-07 6.08715514e-06
 6.01837989e-05 2.33377813e-04 4.85796995e-04 7.72428082e-04
 1.07502722e-03 1.38873151e-03 1.70844388e-03 2.03215768e-03
 2.35892372e-03 2.68803362e-03 3.01898194e-03 3.35140951e-03
 3.68505194e-03 4.01970908e-03 4.35522594e-03 4.69148023e-03
 5.02837377e-03 5.36582663e-03 5.70377289e-03 6.04215755e-03
 6.38093426e-03 6.72006362e-03 7.05951183e-03 7.39924972e-03
 7.73925193e-03 8.07949627e-03 8.41996320e-03 8.76063546e-03
 9.10149773e-03 9.44253630e-03 9.78373891e-03 1.01250945e-02
 1.04665932e-02 1.08082259e-02 1.11499844e-02]"
6,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80004491e-13 5.20009383e-13 5.60055474e-13 6.00193506e-13
 6.40669809e-13 6.82321387e-13 7.28038289e-13 7.87838544e-13
 8.96412285e-13 1.17389952e-12 2.03636587e-12 4.92476199e-12
 1.48293981e-11 4.90328672e-11 1.67388648e-10 5.77182187e-10
 1.99628124e-09 6.91071895e-09 2.39289226e-08 8.28486065e-08
 2.86683740e-07 9.90022103e-07 3.39535898e-06 1.13819883e-05
 3.57269542e-05 9.66703059e-05 2.10841367e-04 3.75236915e-04
 5.76120340e-04 8.01379690e-04 1.04260879e-03 1.29589052e-03
 1.55740883e-03 1.82505858e-03 2.09748211e-03 2.37369859e-03
 2.65298831e-03 2.93481270e-03 3.21875962e-03]"
7,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80005792e-13 5.20014587e-13 5.60084097e-13 6.00294120e-13
 6.41039305e-13 6.83658859e-13 7.32893780e-13 8.05427773e-13
 9.60057554e-13 1.40393079e-12 2.86689856e-12 7.92043080e-12
 2.56246014e-11 8.79007162e-11 3.07216853e-10 1.07982910e-09
 3.80183535e-09 1.33917281e-08 4.71741530e-08 1.66131099e-07
 5.84403948e-07 2.04768760e-06 7.07851951e-06 2.34294542e-05
 6.94654328e-05 1.68502295e-04 3.26851030e-04 5.31849591e-04
 7.68397735e-04 1.02523602e-03 1.29731353e-03 1.57951448e-03
 1.86910808e-03 2.16439923e-03 2.46417350e-03 2.76754846e-03
 3.07387108e-03 3.38264639e-03 3.69349136e-03]"
8,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[6.95085482e-13 2.29794916e-12 1.52569936e-11 1.22089126e-10
 1.00489550e-09 8.30174035e-09 6.85935376e-08 5.65242623e-07
 4.55592380e-06 3.17635010e-05 1.36203560e-04 3.31535618e-04
 5.79339585e-04 8.54450291e-04 1.14415402e-03 1.44432090e-03
 1.75083009e-03 2.06179679e-03 2.37616656e-03 2.69318464e-03
 3.01231069e-03 3.33315195e-03 3.65541446e-03 3.97887281e-03
 4.30335060e-03 4.62870735e-03 4.95482942e-03 5.28162369e-03
 5.60901289e-03 5.93693223e-03 6.26532688e-03 6.59415004e-03
 6.92336144e-03 7.25292619e-03 7.58281388e-03 7.91299783e-03
 8.24345451e-03 8.57416309e-03 8.90510501e-03]"
9,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80005358e-13 5.20013286e-13 5.60094505e-13 6.00392999e-13
 6.41636917e-13 6.86814321e-13 7.48383994e-13 8.78220240e-13
 1.29237680e-12 2.89070851e-12 9.42104207e-12 3.64927654e-11
 1.49117703e-10 6.18063806e-10 2.57103785e-09 1.07044939e-08
 4.45726175e-08 1.85510036e-07 7.70422679e-07 3.17117856e-06
 1.26051163e-05 4.48648462e-05 1.25785969e-04 2.65067076e-04
 4.49051822e-04 6.61587299e-04 8.91555304e-04 1.13441280e-03
 1.38553018e-03 1.64257050e-03 1.90414577e-03 2.16926605e-03
 2.43721760e-03 2.70747698e-03 2.97965026e-03 3.25343423e-03
 3.52859107e-03 3.80493106e-03 4.08230062e-03]"
