Trial,Error,Parameters
0,0.00835202362055722,"{'N': 1.1382676879690778, 'IS': 7.59368108782344e-25, 'RS': 127.88248338407426}"
1,0.03554911420389301,"{'N': 1.1742128606113347, 'IS': 3.741460220489711e-24, 'RS': 124.00045749926937}"
2,0.024690755350948564,"{'N': 1.1593032344421392, 'IS': 1.1604015086770085e-24, 'RS': 124.36935437907519}"
3,0.060264584524351045,"{'N': 1.1442138274790974, 'IS': 2.0550232716937146e-24, 'RS': 125.58706989692269}"
4,0.04593688450782903,"{'N': 1.1900461754204366, 'IS': 2.3863753148148266e-24, 'RS': 126.74087800158703}"
5,0.07115870407457349,"{'N': 1.1465787924650974, 'IS': 4.451528463759254e-24, 'RS': 124.1095503727917}"
6,0.06903073494540826,"{'N': 1.2071607763231924, 'IS': 2.377871610652071e-24, 'RS': 126.234759313783}"
7,0.05699441181451004,"{'N': 1.1382503020173804, 'IS': 1.3914567008819545e-24, 'RS': 127.20297827470215}"
8,0.09836179023236716,"{'N': 1.2458740048435217, 'IS': 1.9104088017165928e-24, 'RS': 126.76929046267726}"
9,0.07519316843893478,"{'N': 1.233930589798485, 'IS': 4.5257299857673125e-24, 'RS': 124.3401768454791}"
10,0.07732465590570638,"{'N': 1.1214794518280513, 'IS': 3.27684470659362e-24, 'RS': 127.86878112781693}"
11,0.0691850953932438,"{'N': 1.168746790167324, 'IS': 5.265190319858726e-25, 'RS': 125.31588046983472}"
12,0.054695949646465396,"{'N': 1.1578438411717178, 'IS': 5.737060369829582e-25, 'RS': 124.94549792657055}"
13,0.06475823205587918,"{'N': 1.1238304789055826, 'IS': 1.3685815392206202e-24, 'RS': 127.66399511985796}"
14,0.06892065012637492,"{'N': 1.1931780509800476, 'IS': 1.3324542091954757e-24, 'RS': 124.82370040090622}"
15,0.0355060817407521,"{'N': 1.1591528293512654, 'IS': 9.728927744972948e-25, 'RS': 126.24796027781231}"
16,0.06289399605345301,"{'N': 1.2088688822498161, 'IS': 3.0002697964483502e-24, 'RS': 125.72685185894956}"
17,0.046066687263452685,"{'N': 1.1348113345477167, 'IS': 1.0195244089329557e-24, 'RS': 127.28501516313385}"
18,0.036940017777710756,"{'N': 1.1766337982308397, 'IS': 1.7568519809159125e-24, 'RS': 124.602297748619}"
19,0.03256059545434748,"{'N': 1.1535584287001444, 'IS': 8.52938673016346e-25, 'RS': 125.20331923616409}"
20,0.05734728388071315,"{'N': 1.1642180508674784, 'IS': 3.581476374523682e-24, 'RS': 126.64079315764182}"
21,0.026100156252797754,"{'N': 1.1517577926470242, 'IS': 8.888370715956897e-25, 'RS': 125.33204198029037}"
22,0.06218816185763574,"{'N': 1.1343757300425978, 'IS': 1.5950782548446447e-24, 'RS': 125.90950379724285}"
23,0.011305808724959884,"{'N': 1.1517512051150687, 'IS': 1.089948136377573e-24, 'RS': 124.54855673302201}"
24,0.030589119297977314,"{'N': 1.1810515051201667, 'IS': 2.2798974803041835e-24, 'RS': 124.44809256158342}"
25,0.041795574922590444,"{'N': 1.141110393749256, 'IS': 1.2064046838748954e-24, 'RS': 124.94949180142648}"
26,0.066440611218402,"{'N': 1.1658547885687212, 'IS': 5.101484349504906e-25, 'RS': 124.67879261800176}"
27,0.06831234714346222,"{'N': 1.1258305126476063, 'IS': 1.6037868234232426e-24, 'RS': 124.21941072796105}"
28,0.07094454402921754,"{'N': 1.1306349072580602, 'IS': 2.7908204447597117e-24, 'RS': 127.23792103255546}"
29,0.06279372409183183,"{'N': 1.1727731425654846, 'IS': 8.121768377313221e-25, 'RS': 126.19286251878161}"
30,0.07162166264497842,"{'N': 1.1490551686588986, 'IS': 4.945453687352293e-24, 'RS': 124.0481621998752}"
31,0.023242297433773897,"{'N': 1.1536567345613615, 'IS': 9.970525333371306e-25, 'RS': 125.20900288788665}"
32,0.015590065304248207,"{'N': 1.1435432304428033, 'IS': 1.0722487046458192e-24, 'RS': 125.14319192349633}"
33,0.01347094083751101,"{'N': 1.14660813685012, 'IS': 1.1565310925743011e-24, 'RS': 125.55413419957871}"
34,0.06039628219527046,"{'N': 1.141869475867659, 'IS': 1.9198903310465852e-24, 'RS': 125.54618290892556}"
35,0.06356825367040687,"{'N': 1.13042394292053, 'IS': 1.4983436762304583e-24, 'RS': 125.62660937788402}"
36,0.06129193804306164,"{'N': 1.143827993007017, 'IS': 2.1379848451060693e-24, 'RS': 125.04213033344057}"
37,0.08157261321797202,"{'N': 1.1910989397629441, 'IS': 7.299564578712294e-25, 'RS': 125.94981500200757}"
38,0.012449799826968344,"{'N': 1.1484646413783035, 'IS': 1.1795705364601262e-24, 'RS': 126.49797418200939}"
39,0.012657733076908045,"{'N': 1.148465542418396, 'IS': 1.1835524214418554e-24, 'RS': 126.58498064104167}"
40,0.07468254735644007,"{'N': 1.205005075376675, 'IS': 1.7900678506096196e-24, 'RS': 126.9674133406424}"
41,0.024419073577695117,"{'N': 1.1620808148730146, 'IS': 1.3064404131204918e-24, 'RS': 126.45696791732355}"
42,0.011427066221085275,"{'N': 1.1483931104300398, 'IS': 1.1595474143326768e-24, 'RS': 126.97744167864745}"
43,0.008142258472838995,"{'N': 1.1372509748984276, 'IS': 7.061641280303941e-25, 'RS': 126.9715955405297}"
44,0.008212594223915718,"{'N': 1.1376054631793495, 'IS': 7.501117798583769e-25, 'RS': 127.58512038634356}"
45,0.008145077965336731,"{'N': 1.1365864067302556, 'IS': 7.185648146621836e-25, 'RS': 127.60446997601058}"
46,0.020994414644563843,"{'N': 1.1298990025110576, 'IS': 6.946838992350186e-25, 'RS': 127.57671034255638}"
47,0.05648148152408744,"{'N': 1.1200883167828468, 'IS': 6.745676873014556e-25, 'RS': 127.87970145518877}"
48,0.023935774510827363,"{'N': 1.1359705713562083, 'IS': 5.296820327053908e-25, 'RS': 127.54318995036732}"
49,0.01293777085397308,"{'N': 1.1367159193471312, 'IS': 8.173699041161536e-25, 'RS': 127.96667822725254}"
