Trial,Error,Parameters
0,0.06518423955802674,"{'N': 1.136097174808354, 'IS': 6.696202769383323e-25, 'RS': 124.61315820438162}"
1,0.0999804407786002,"{'N': 1.1365239370772373, 'IS': 3.686665201781471e-24, 'RS': 124.45452369456473}"
2,0.10167072881149163,"{'N': 1.1353248281559298, 'IS': 4.518261294564446e-24, 'RS': 127.4814654446672}"
3,0.09578896254797624,"{'N': 1.1237675593139151, 'IS': 1.4325929516218405e-24, 'RS': 123.25733601650415}"
4,0.06540618052984254,"{'N': 1.133224295309519, 'IS': 6.344429489535513e-25, 'RS': 125.28416612197356}"
5,0.09001544834602235,"{'N': 1.1394743214284428, 'IS': 1.7531927719158887e-24, 'RS': 126.38127450990066}"
6,0.06771601863078579,"{'N': 1.1377258845224905, 'IS': 6.07918470697244e-25, 'RS': 125.7942704399544}"
7,0.09889356045734181,"{'N': 1.127777573407224, 'IS': 2.3679553865453134e-24, 'RS': 124.4176254088566}"
8,0.0949434411568766,"{'N': 1.14079413754939, 'IS': 2.4820417295183276e-24, 'RS': 123.78433869237482}"
9,0.10124943755703275,"{'N': 1.1363394705409553, 'IS': 4.0114164403011514e-24, 'RS': 124.5318176618809}"
10,0.09351860898949453,"{'N': 1.148745667920713, 'IS': 3.320221047212172e-24, 'RS': 127.76583694850028}"
11,0.06494408198528391,"{'N': 1.1293424899888391, 'IS': 5.036481728167594e-25, 'RS': 125.31549938606935}"
12,0.09082143726001735,"{'N': 1.129287766667897, 'IS': 1.2998666708235508e-24, 'RS': 125.4881780823785}"
13,0.07513985161706833,"{'N': 1.1444565505458573, 'IS': 5.482864263329784e-25, 'RS': 126.54076037239193}"
14,0.09526071558174676,"{'N': 1.1307689696357093, 'IS': 1.8434746717481292e-24, 'RS': 124.987249961223}"
15,0.09143934307657843,"{'N': 1.1231075849264482, 'IS': 1.1233341064392223e-24, 'RS': 126.18949698455687}"
16,0.10168449704348222,"{'N': 1.1259716319186706, 'IS': 2.8405594708877436e-24, 'RS': 123.65797838203953}"
17,0.09077701514881642,"{'N': 1.1202868084142588, 'IS': 9.778989038004034e-25, 'RS': 127.14067471441732}"
18,0.09551187793057675,"{'N': 1.1322981999572341, 'IS': 1.9452399709932025e-24, 'RS': 124.89468485034111}"
19,0.10068960147106733,"{'N': 1.1438964442207882, 'IS': 4.917317739499405e-24, 'RS': 123.97538407053459}"
20,0.08740063572037264,"{'N': 1.1331928526897264, 'IS': 1.0615613888869837e-24, 'RS': 125.94927803045161}"
21,0.06514783683566924,"{'N': 1.1327322695773274, 'IS': 6.1879848976533565e-25, 'RS': 125.1778287919732}"
22,0.08605897585084574,"{'N': 1.1284128382312426, 'IS': 8.325370456140555e-25, 'RS': 125.0506280500817}"
23,0.09094595183081436,"{'N': 1.1309794445041523, 'IS': 1.4151222301716083e-24, 'RS': 125.65883744507158}"
24,0.07387672048749307,"{'N': 1.1414482141378859, 'IS': 5.213633011508364e-25, 'RS': 126.79564515061234}"
25,0.0921471887588418,"{'N': 1.1341577113315062, 'IS': 1.655904407467894e-24, 'RS': 124.19111980490253}"
26,0.09855232606289137,"{'N': 1.1250827556369274, 'IS': 2.083943929432104e-24, 'RS': 124.85509288147053}"
27,0.07123147259840007,"{'N': 1.1382070718598831, 'IS': 8.946034941165607e-25, 'RS': 125.35836677099134}"
28,0.1000320009237235,"{'N': 1.130871000603232, 'IS': 3.0255419594159334e-24, 'RS': 124.71710948177922}"
29,0.08825088626803516,"{'N': 1.1355757930329833, 'IS': 1.2274005060111976e-24, 'RS': 123.0549135050544}"
