Trial,Error,Parameters
0,6.1708480681141324,"{'N': 1.044662328860821, 'IS': 1.2051549446035515e-25, 'RS': 148.9265214838616}"
1,7.3637539452803615,"{'N': 1.0436350297118406, 'IS': 9.556428757689246e-25, 'RS': 181.23957592679835}"
2,6.596726234225416,"{'N': 1.099664621049259, 'IS': 2.4041677639819285e-25, 'RS': 140.9196164235342}"
3,13.056631687146718,"{'N': 0.9645209030420498, 'IS': 8.795585311974415e-25, 'RS': 172.0780508220246}"
4,8.238206365829976,"{'N': 1.1270181444490113, 'IS': 1.185260448662222e-25, 'RS': 197.8936896513396}"
5,8.725398103937383,"{'N': 1.1581106602001054, 'IS': 2.911051996104485e-25, 'RS': 142.72774770449703}"
6,8.782439478315924,"{'N': 0.9958511274633584, 'IS': 3.738180186635839e-25, 'RS': 166.73295021425665}"
7,6.2298372723744695,"{'N': 1.057986254660529, 'IS': 3.621062261782377e-25, 'RS': 172.82970263056657}"
8,9.587551308869632,"{'N': 0.9848734651630104, 'IS': 3.6293018368169627e-25, 'RS': 155.64532903055843}"
9,6.7212250762941625,"{'N': 1.064017496054259, 'IS': 8.066583652537121e-25, 'RS': 143.97716475108518}"
10,9.169900939372955,"{'N': 1.1862841360575966, 'IS': 6.029658084317206e-25, 'RS': 130.52831235214052}"
11,7.182870639005639,"{'N': 1.0367127228516555, 'IS': 5.475474592846179e-25, 'RS': 157.9896102145638}"
12,6.269889998486588,"{'N': 1.0213460662909972, 'IS': 1.0590497765396917e-25, 'RS': 182.1262629615515}"
13,6.1704594339191665,"{'N': 1.0879287752028295, 'IS': 5.070351850855542e-25, 'RS': 154.92638563344957}"
14,6.202370846502877,"{'N': 1.0989034042333303, 'IS': 5.809353704160837e-25, 'RS': 153.97611956164297}"
15,6.227276035603042,"{'N': 1.0911224728380062, 'IS': 7.209013810147227e-25, 'RS': 148.73753444260916}"
16,8.194454048110124,"{'N': 1.014353518328354, 'IS': 4.488347836575647e-25, 'RS': 136.81521095156265}"
17,7.805345436253567,"{'N': 1.133030937486467, 'IS': 2.148546233001356e-25, 'RS': 160.61298909790233}"
18,6.520863476703044,"{'N': 1.125425287614927, 'IS': 6.67776426185169e-25, 'RS': 150.44682964302226}"
19,6.367025511854072,"{'N': 1.074567039195425, 'IS': 4.889707374224078e-25, 'RS': 130.3305006205669}"
20,9.480057115583362,"{'N': 1.1998406096603877, 'IS': 7.685181859211227e-25, 'RS': 164.78276641552347}"
21,6.251605700061526,"{'N': 1.104729595964256, 'IS': 6.03542331735602e-25, 'RS': 151.70260589739212}"
22,6.176124646550824,"{'N': 1.0858279555967882, 'IS': 4.840292135726741e-25, 'RS': 153.40452787114387}"
23,6.255313151108914,"{'N': 1.0744425868056184, 'IS': 4.590226832252413e-25, 'RS': 146.56022118076203}"
24,6.187175425873063,"{'N': 1.0479527219297577, 'IS': 1.9612277135693592e-25, 'RS': 162.2623499877049}"
25,7.194362961058941,"{'N': 1.02513828680662, 'IS': 3.00046070702471e-25, 'RS': 138.00929008192497}"
26,6.172739565659671,"{'N': 1.0819124498222292, 'IS': 6.6782041959893975e-25, 'RS': 168.81161822137827}"
27,6.258677648816246,"{'N': 1.1161729488273224, 'IS': 7.0349062834439775e-25, 'RS': 170.77576175708234}"
28,6.828026348384577,"{'N': 1.14693841629929, 'IS': 8.45008533511787e-25, 'RS': 179.41639920019657}"
29,6.8466636965789185,"{'N': 1.0474107120900669, 'IS': 6.601888959563529e-25, 'RS': 185.3527406005772}"
30,9.723110545587586,"{'N': 1.0035218984714895, 'IS': 9.48911604025595e-25, 'RS': 177.13647374075947}"
31,6.175562552786122,"{'N': 1.0800662803550882, 'IS': 5.176864911196744e-25, 'RS': 158.66344121783263}"
32,6.372349818005544,"{'N': 1.064220373982538, 'IS': 5.334255113857918e-25, 'RS': 159.78800740524565}"
33,6.346547229115388,"{'N': 1.0807441093921895, 'IS': 9.961236357009266e-25, 'RS': 167.44267220287907}"
34,6.692900482692806,"{'N': 1.0394349147447475, 'IS': 4.131911229041041e-25, 'RS': 187.7671296780224}"
35,13.823507379669518,"{'N': 0.950869891505586, 'IS': 6.299398000693984e-25, 'RS': 157.4236526344152}"
36,6.802184645258155,"{'N': 1.1132211673264718, 'IS': 2.837887891946897e-25, 'RS': 145.98563472954405}"
37,6.09135840539261,"{'N': 1.0560686508619779, 'IS': 1.5940292745971002e-25, 'RS': 163.95456409956137}"
38,6.089542838136381,"{'N': 1.057111643029719, 'IS': 1.617255559048559e-25, 'RS': 164.38812206728815}"
39,8.208136432223014,"{'N': 0.9862035574548024, 'IS': 1.7519367756957398e-25, 'RS': 175.00066134985198}"
40,6.084820574342577,"{'N': 1.056256206065957, 'IS': 1.5152996728557342e-25, 'RS': 164.96713634693134}"
41,6.095187353657764,"{'N': 1.0573596490358332, 'IS': 1.51829276663352e-25, 'RS': 162.81002090111798}"
42,6.090508124346401,"{'N': 1.0541270080977767, 'IS': 1.5392261039481784e-25, 'RS': 164.26743602577372}"
43,6.0982132036039145,"{'N': 1.0567877456918877, 'IS': 1.6782499669406348e-25, 'RS': 162.91955611546598}"
44,6.32984504447891,"{'N': 1.0304905576413939, 'IS': 1.4551543609777316e-25, 'RS': 165.45938762528561}"
45,6.119208706144448,"{'N': 1.0558155514003909, 'IS': 2.459913240318758e-25, 'RS': 173.41137894359565}"
46,6.140246662108502,"{'N': 1.065154623725319, 'IS': 1.3697531788558209e-25, 'RS': 163.81248646488612}"
47,6.509178093644958,"{'N': 1.0363406014608276, 'IS': 2.5757978255660485e-25, 'RS': 169.845019142739}"
48,6.422988558532517,"{'N': 1.0117934310464864, 'IS': 1.0560834097231476e-25, 'RS': 197.92658634312636}"
49,6.114911579582629,"{'N': 1.0678149629827831, 'IS': 3.2074483661821935e-25, 'RS': 167.67723139903416}"
