va,ia_meas
0.48,3.00E-12
0.52,4.00E-12
0.56,1.00E-12
0.6,1.00E-11
0.64,1.00E-12
0.68,3.00E-12
0.72,-1.00E-12
0.76,1.40E-11
0.8,-2.00E-12
0.84,5.00E-12
0.88,0
0.92,2.60E-11
0.96,7.60E-11
1,3.41E-10
1.04,1.47E-09
1.08,6.34E-09
1.12,2.69E-08
1.16,1.09E-07
1.2,4.44E-07
1.24,1.71E-06
1.28,6.25E-06
1.32,1.99E-05
1.36,5.73E-05
1.4,0.000136919
1.44,0.000271513
1.48,0.000463141
1.52,0.000698152
1.56,0.000963296
1.6,0.00124042
1.64,0.00154003
1.68,0.0018488
1.72,0.00216328
1.76,0.0024744
1.8,0.00279339
1.84,0.00311279
1.88,0.00342613
1.92,0.00374548
1.96,0.00406423
2,0.00438274
