Trial,total_error,error_id,error_gm,Parameters
0,0.03431762654029155,0.03384418963350786,0.03479106344707525,"{'RTH0': 32.14132095283724, 'VOFF': -1.969760841787141, 'NFACTOR': 0.4900349810213129, 'U0': 0.2672817358021035, 'UA': 1.0919866493273292e-07, 'UB': 2.34992500115689e-19, 'VSAT': 200260.19463990538, 'LAMBDA': 0.0011175565907675976, 'UTE': -0.6287874946856816, 'ETA0': 0.04758592797771669, 'VDSCALE': 4.749386526632942, 'CDSCD': 0.052543884551718906, 'RSC': 0.0004002900460738801, 'RDC': 0.0004162725179793408, 'DELTA': 2.5014612069656414, 'THESAT': 1.2063541270898506, 'NJGD': 9.590137755018617, 'RNJGD': 22.322157010587414, 'IGDDIO': 11.232293759131256, 'RIGDDIO': 1.8401868465218783e-08, 'NJGS': 16.480886649019077, 'RNJGS': 6.538646689005136, 'IGSDIO': 2.9610539965440448, 'RIGSDIO': 6.825802050465264e-08, 'VSATACCS': 68336.1903820547, 'NS0ACCS': 9.082499858590795e+19, 'NS0ACCD': 2.911597501486136e+18, 'U0ACCS': 0.07870782623745198, 'U0ACCD': 0.06304172616796352, 'MEXPACCS': 2.881198631598361, 'MEXPACCD': 2.550683028111979, 'IMIN': 1.6296268687248523e-15, 'GDSMIN': 1.8114057061797583e-07, 'UTES': -16.088805844541437, 'UTED': -6.26736801175016}"
1,0.03717375544376547,0.03692353908660943,0.03742397180092151,"{'RTH0': 31.59554919920876, 'VOFF': -1.9537498149069183, 'NFACTOR': 0.4843573423207219, 'U0': 0.2655238470934922, 'UA': 1.0080393597963901e-07, 'UB': 1.2544141495187198e-19, 'VSAT': 186889.586007919, 'LAMBDA': 0.0024718317464814186, 'UTE': -0.5540787316342322, 'ETA0': 0.053532760464273466, 'VDSCALE': 4.253012622415807, 'CDSCD': 0.05213298639001321, 'RSC': 0.0004796725849635225, 'RDC': 0.0003422792746348334, 'DELTA': 3.3054775474325626, 'THESAT': 1.2436715142754426, 'NJGD': 9.419199542708853, 'RNJGD': 28.38393690973678, 'IGDDIO': 12.413885455074023, 'RIGDDIO': 2.3360200559972634e-08, 'NJGS': 15.69572582929253, 'RNJGS': 8.186872822661442, 'IGSDIO': 4.4434971766169795, 'RIGSDIO': 9.37016696981719e-08, 'VSATACCS': 63989.994910407615, 'NS0ACCS': 7.924824327137909e+19, 'NS0ACCD': 1.768608336785877e+18, 'U0ACCS': 0.13635051841438256, 'U0ACCD': 0.14522221147572878, 'MEXPACCS': 3.7746683717848133, 'MEXPACCD': 2.5360172736094855, 'IMIN': 2.5064595836883566e-14, 'GDSMIN': 7.914124452132305e-07, 'UTES': -14.976124703752001, 'UTED': -6.027602618526197}"
2,0.12609354803134717,0.12511581290104246,0.1270712831616519,"{'RTH0': 32.36733102792523, 'VOFF': -1.960209268344366, 'NFACTOR': 0.5417180917139887, 'U0': 0.26355613839068043, 'UA': 4.0434198164759403e-07, 'UB': 3.189014218901071e-19, 'VSAT': 178966.61633612617, 'LAMBDA': 0.0012617159334505185, 'UTE': -0.7297149215637455, 'ETA0': 0.039668445639739286, 'VDSCALE': 4.322242978712614, 'CDSCD': 0.046303864822333285, 'RSC': 0.0005153170898541348, 'RDC': 0.0005875096291358334, 'DELTA': 4.251936424485631, 'THESAT': 1.0560272922296692, 'NJGD': 11.871029358934194, 'RNJGD': 23.537350339646117, 'IGDDIO': 13.533230156513032, 'RIGDDIO': 1.6205644924549507e-08, 'NJGS': 13.356629213218854, 'RNJGS': 5.636673709030925, 'IGSDIO': 3.8208253937877146, 'RIGSDIO': 6.637088075232001e-08, 'VSATACCS': 15539.631154736062, 'NS0ACCS': 3.450371897272072e+19, 'NS0ACCD': 3.0904978946809815e+18, 'U0ACCS': 0.19241972802791402, 'U0ACCD': 0.185015635169772, 'MEXPACCS': 3.9980648694442817, 'MEXPACCD': 3.0915936010273466, 'IMIN': 2.489251510086195e-14, 'GDSMIN': 1.491849263204689e-07, 'UTES': -12.914731045577653, 'UTED': -5.471787219639841}"
3,0.12621017817951835,0.1251008170032514,0.12731953935578533,"{'RTH0': 32.1167954607928, 'VOFF': -1.9598181247867332, 'NFACTOR': 0.5490994009272597, 'U0': 0.2692278862059522, 'UA': 2.9496957438026167e-07, 'UB': 1.3756382067964174e-20, 'VSAT': 203223.77827189962, 'LAMBDA': 0.001958001823627766, 'UTE': -0.6479459283123007, 'ETA0': 0.030389868814828764, 'VDSCALE': 4.09954774698288, 'CDSCD': 0.049799226306033104, 'RSC': 0.0005043103571684733, 'RDC': 0.00042645726862937296, 'DELTA': 2.6584478418400312, 'THESAT': 1.7643624309299422, 'NJGD': 10.514281272986995, 'RNJGD': 26.98795068976529, 'IGDDIO': 8.729088190823537, 'RIGDDIO': 9.638516052097906e-08, 'NJGS': 17.22393959308045, 'RNJGS': 5.941639830565473, 'IGSDIO': 3.694166585310111, 'RIGSDIO': 1.5401333917506608e-08, 'VSATACCS': 32559.80606032865, 'NS0ACCS': 4.3855931634238685e+19, 'NS0ACCD': 2.7115157614879314e+18, 'U0ACCS': 0.06034151154887806, 'U0ACCD': 0.12604624891525332, 'MEXPACCS': 3.5640178544412455, 'MEXPACCD': 2.022574508945394, 'IMIN': 6.045360453105551e-14, 'GDSMIN': 7.996534172154836e-07, 'UTES': -10.906917010363802, 'UTED': -7.81305317388206}"
4,0.11613123337196146,0.11475890499076939,0.11750356175315352,"{'RTH0': 32.23174125343221, 'VOFF': -1.9611423254751776, 'NFACTOR': 0.4798684463112373, 'U0': 0.2696871346328018, 'UA': 2.517398524182496e-07, 'UB': 2.521855801671592e-19, 'VSAT': 216546.26906910885, 'LAMBDA': 0.001234848467538923, 'UTE': -0.8567335350304802, 'ETA0': 0.04735505225006062, 'VDSCALE': 4.552911217344734, 'CDSCD': 0.05263639391991638, 'RSC': 0.000798377015259221, 'RDC': 0.0006741548999569827, 'DELTA': 2.535272724743964, 'THESAT': 1.4226837095596219, 'NJGD': 9.15679264116172, 'RNJGD': 28.343023888784003, 'IGDDIO': 14.977661919488689, 'RIGDDIO': 2.3232632658995917e-08, 'NJGS': 15.308250887387906, 'RNJGS': 6.480412375376008, 'IGSDIO': 5.281872892392638, 'RIGSDIO': 3.900755911859299e-08, 'VSATACCS': 28626.27192741345, 'NS0ACCS': 6.4346157423344435e+19, 'NS0ACCD': 8.215251842938243e+18, 'U0ACCS': 0.1903783951563455, 'U0ACCD': 0.10372142299752174, 'MEXPACCS': 2.671017742506395, 'MEXPACCD': 3.477874004712133, 'IMIN': 2.9362037190259644e-14, 'GDSMIN': 6.21988074485601e-07, 'UTES': -15.930304293356688, 'UTED': -9.377743220116653}"
5,0.11688828505795935,0.11112502805466469,0.12265154206125402,"{'RTH0': 32.38572782956108, 'VOFF': -1.962542146443632, 'NFACTOR': 0.5017020668200458, 'U0': 0.25620708558404964, 'UA': 2.389145883954735e-07, 'UB': 2.211026950316742e-20, 'VSAT': 196667.40291551017, 'LAMBDA': 0.002785531072604785, 'UTE': -0.5612274307764618, 'ETA0': 0.05679884255053472, 'VDSCALE': 5.954503293456469, 'CDSCD': 0.055619565481671324, 'RSC': 0.0007534105326590569, 'RDC': 0.0007625387638011375, 'DELTA': 2.331033091016022, 'THESAT': 1.0823335619347014, 'NJGD': 7.932083355606622, 'RNJGD': 28.03288689281952, 'IGDDIO': 13.214304224367334, 'RIGDDIO': 6.812493835316956e-08, 'NJGS': 16.80799923605772, 'RNJGS': 8.57088924222935, 'IGSDIO': 4.992737452978933, 'RIGSDIO': 3.6746804788237725e-08, 'VSATACCS': 51533.006400967475, 'NS0ACCS': 5.849508554592029e+19, 'NS0ACCD': 6.159727162349622e+18, 'U0ACCS': 0.14362145343928068, 'U0ACCD': 0.08627784505129722, 'MEXPACCS': 2.0924549734656095, 'MEXPACCD': 2.8560819936207844, 'IMIN': 7.365884530297716e-14, 'GDSMIN': 8.448861537227407e-07, 'UTES': -14.811347648839106, 'UTED': -5.910306161398809}"
6,0.11404524078388903,0.11195263927443859,0.11613784229333945,"{'RTH0': 31.584531622315335, 'VOFF': -1.9738889238874395, 'NFACTOR': 0.4715636635045667, 'U0': 0.25180775244282344, 'UA': 2.8702449839141413e-07, 'UB': 3.444486792190258e-19, 'VSAT': 178579.1129875709, 'LAMBDA': 0.0016762121870755292, 'UTE': -0.686197756265436, 'ETA0': 0.04311152710403294, 'VDSCALE': 5.511514868563136, 'CDSCD': 0.049829507738472334, 'RSC': 0.0005895481689698768, 'RDC': 0.00036239248284508055, 'DELTA': 2.0770487858258124, 'THESAT': 1.9814180095068246, 'NJGD': 10.7573064445921, 'RNJGD': 26.223465601117503, 'IGDDIO': 13.199247130159431, 'RIGDDIO': 1.0623151267084744e-08, 'NJGS': 16.5015440429202, 'RNJGS': 7.466585119796424, 'IGSDIO': 4.771961260653672, 'RIGSDIO': 2.9206156504113303e-08, 'VSATACCS': 48151.104004058914, 'NS0ACCS': 4.006825807924437e+19, 'NS0ACCD': 4.263188871516677e+18, 'U0ACCS': 0.13445551935097505, 'U0ACCD': 0.14257990463202325, 'MEXPACCS': 3.2090142785455704, 'MEXPACCD': 3.925932808658189, 'IMIN': 3.289877648340333e-14, 'GDSMIN': 5.995562410192297e-07, 'UTES': -14.376400744222622, 'UTED': -7.491771462635061}"
7,0.117240786185273,0.11617570199398594,0.11830587037656008,"{'RTH0': 31.77710724234306, 'VOFF': -1.969651868242207, 'NFACTOR': 0.530763315971827, 'U0': 0.29326078571417347, 'UA': 4.6123081696432997e-07, 'UB': 2.921119429835529e-20, 'VSAT': 199612.28689897564, 'LAMBDA': 0.0010921080874548128, 'UTE': -0.6691755523664331, 'ETA0': 0.04168006194937418, 'VDSCALE': 5.135260507204155, 'CDSCD': 0.04693218749932005, 'RSC': 0.0004376105769167776, 'RDC': 0.00020164054044341038, 'DELTA': 2.2720861728320605, 'THESAT': 1.0420527821663677, 'NJGD': 10.849996262381747, 'RNJGD': 28.716470264057794, 'IGDDIO': 7.511645408423203, 'RIGDDIO': 6.11111593259013e-08, 'NJGS': 13.235464839272952, 'RNJGS': 7.169460058665042, 'IGSDIO': 5.393533083032943, 'RIGSDIO': 2.1404189457819364e-08, 'VSATACCS': 49811.30570623481, 'NS0ACCS': 3.997273943626993e+19, 'NS0ACCD': 8.167891425479162e+18, 'U0ACCS': 0.1260981739114313, 'U0ACCD': 0.12070307561095123, 'MEXPACCS': 3.75152944734626, 'MEXPACCD': 2.4190115144483006, 'IMIN': 9.283916424528323e-14, 'GDSMIN': 5.362432015193094e-08, 'UTES': -13.897563450230315, 'UTED': -6.016217409797299}"
8,0.06577637632439962,0.05696770324963601,0.07458504939916323,"{'RTH0': 31.633017582436818, 'VOFF': -1.950151702983905, 'NFACTOR': 0.5422540471253187, 'U0': 0.28476689470876937, 'UA': 1.150565709872274e-07, 'UB': 2.6477698567433636e-19, 'VSAT': 197720.21399710665, 'LAMBDA': 0.0017989467906901731, 'UTE': -0.6330406971826533, 'ETA0': 0.03430323239574975, 'VDSCALE': 5.793619184519878, 'CDSCD': 0.04184638899707494, 'RSC': 0.00022322668963856482, 'RDC': 0.00036897441454936044, 'DELTA': 4.435035033689067, 'THESAT': 1.889007362718684, 'NJGD': 8.768256909088894, 'RNJGD': 23.65686533367138, 'IGDDIO': 12.788051204683372, 'RIGDDIO': 9.815688110938893e-08, 'NJGS': 14.433245164669625, 'RNJGS': 7.57863422209042, 'IGSDIO': 5.535714020359373, 'RIGSDIO': 7.090211903887204e-08, 'VSATACCS': 41140.9290739574, 'NS0ACCS': 4.877453847912525e+19, 'NS0ACCD': 2.4204415911328855e+18, 'U0ACCS': 0.16207640053045302, 'U0ACCD': 0.026017426272908324, 'MEXPACCS': 3.4325225570146025, 'MEXPACCD': 2.656225140837773, 'IMIN': 3.5161105387481745e-14, 'GDSMIN': 6.097367390055087e-07, 'UTES': -17.29760892422044, 'UTED': -8.876473071299536}"
9,0.1246490196170735,0.12363124155198531,0.12566679768216169,"{'RTH0': 32.04805204041152, 'VOFF': -1.9831559665007419, 'NFACTOR': 0.468933804782668, 'U0': 0.2874948638566882, 'UA': 4.773667238163851e-07, 'UB': 4.776149396911726e-19, 'VSAT': 187442.97508193512, 'LAMBDA': 0.0028893928246062944, 'UTE': -0.5350331376371908, 'ETA0': 0.03703717965003093, 'VDSCALE': 5.365632429526215, 'CDSCD': 0.04253218088409063, 'RSC': 0.0007292964287399739, 'RDC': 0.0005102965456984303, 'DELTA': 4.600427604555907, 'THESAT': 1.2088424327508474, 'NJGD': 8.074541755138187, 'RNJGD': 25.68070307838599, 'IGDDIO': 13.212375662236244, 'RIGDDIO': 5.452545184698803e-08, 'NJGS': 17.03081446169967, 'RNJGS': 5.972342568980126, 'IGSDIO': 5.652856920911308, 'RIGSDIO': 7.621280222020795e-08, 'VSATACCS': 47227.401607902924, 'NS0ACCS': 8.746715065287082e+19, 'NS0ACCD': 9.243350593574027e+18, 'U0ACCS': 0.028111249836466026, 'U0ACCD': 0.09400042557999666, 'MEXPACCS': 3.781179599690689, 'MEXPACCD': 2.547781895544418, 'IMIN': 5.357172043785272e-14, 'GDSMIN': 4.909419859741759e-07, 'UTES': -11.679178714071181, 'UTED': -8.20786770058581}"
