Trial,total_error,error_id,error_gm,Parameters
0,12.91146502108004,13.371021687119706,12.451908355040374,"{'RTH0': 32.25483514726312, 'VOFF': -2.0796547392057674, 'NFACTOR': 0.2107036402898918, 'U0': 0.2837445384877196, 'UA': 4.00929447567871e-08, 'UB': 3.0533895408553072e-21, 'VSAT': 217720.64182815654, 'LAMBDA': 0.0014329210880734671, 'UTE': -0.48043908496292764, 'ETA0': 0.027268941367855605, 'VDSCALE': 4.7706913089390985, 'CDSCD': 0.10989633252841106, 'RSC': 0.00012426426194478692, 'RDC': 0.00019556322263174943, 'DELTA': 4.904443723989451, 'THESAT': 2.2976734972992308, 'NJGD': 14.667539459434268, 'RNJGD': 18.636720201466662, 'IGDDIO': 7.9731467332718715, 'RIGDDIO': 3.564505211856601e-08, 'NJGS': 18.943511293259814, 'RNJGS': 8.590045473147793, 'IGSDIO': 7.482935091215542, 'RIGSDIO': 2.5745460237741817e-08, 'VSATACCS': 126957.75271528194, 'NS0ACCS': 2.26696763268361e+20, 'NS0ACCD': 8.596906697625518e+18, 'U0ACCS': 0.1326925802940057, 'U0ACCD': 0.16288359025081328, 'MEXPACCS': 3.4970809196125363, 'MEXPACCD': 1.4945382220852232, 'IMIN': 7.711362793327444e-13, 'GDSMIN': 6.022878680830852e-07, 'UTES': -6.3828371183262, 'UTED': -11.516398707984093}"
1,13.217378743698111,13.663646216418528,12.771111270977695,"{'RTH0': 31.59554919920876, 'VOFF': -1.9612494447207551, 'NFACTOR': 0.2374293692828876, 'U0': 0.2655238470934922, 'UA': 1.0984821575057793e-08, 'UB': 1.2544141495187199e-20, 'VSAT': 186889.586007919, 'LAMBDA': 0.0024718317464814186, 'UTE': -0.3522659620190179, 'ETA0': 0.03568850697618231, 'VDSCALE': 4.253012622415807, 'CDSCD': 0.09246545236504625, 'RSC': 0.0001932241949878408, 'RDC': 0.0001474264248782778, 'DELTA': 3.8703183649550414, 'THESAT': 2.2436715142754426, 'NJGD': 14.151519725625311, 'RNJGD': 19.353574763894713, 'IGDDIO': 8.310369454686406, 'RIGDDIO': 1.593786691554339e-08, 'NJGS': 19.097862914646264, 'RNJGS': 8.912123693596866, 'IGSDIO': 6.832622882462735, 'RIGSDIO': 4.7200742088076396e-08, 'VSATACCS': 140824.995758673, 'NS0ACCS': 4.077699700950182e+20, 'NS0ACCD': 5.427004631547709e+18, 'U0ACCS': 0.13325013642483752, 'U0ACCD': 0.18558479249361284, 'MEXPACCS': 3.7746683717848133, 'MEXPACCD': 1.5360172736094857, 'IMIN': 3.187690530625779e-13, 'GDSMIN': 8.103749501938458e-07, 'UTES': -8.110077939845, 'UTED': -10.616561571115719}"
2,15.150212580925272,14.712231183071678,15.588193978778866,"{'RTH0': 32.36733102792523, 'VOFF': -1.9806278050330979, 'NFACTOR': 0.4668723668559547, 'U0': 0.26355613839068043, 'UA': 3.8281892751830264e-07, 'UB': 3.1890142189010704e-20, 'VSAT': 178966.61633612617, 'LAMBDA': 0.0012617159334505185, 'UTE': -0.44984162309096976, 'ETA0': 0.02644563042649286, 'VDSCALE': 4.322242978712614, 'CDSCD': 0.07206352687816649, 'RSC': 0.0002051056966180449, 'RDC': 0.00022916987637861116, 'DELTA': 4.501290949657088, 'THESAT': 2.056027292229669, 'NJGD': 15.622617615360518, 'RNJGD': 17.414940135858448, 'IGDDIO': 8.608861375070141, 'RIGDDIO': 1.2758064410910893e-08, 'NJGS': 17.928314606609426, 'RNJGS': 7.382004225418554, 'IGSDIO': 6.365619045340786, 'RIGSDIO': 3.50537247788089e-08, 'VSATACCS': 100449.69262894672, 'NS0ACCS': 2.0890541765653653e+20, 'NS0ACCD': 6.161387719267211e+18, 'U0ACCS': 0.14800519158629316, 'U0ACCD': 0.19605674609730844, 'MEXPACCS': 3.9980648694442817, 'MEXPACCD': 2.0915936010273466, 'IMIN': 3.1720468273510866e-13, 'GDSMIN': 2.2653175120042624e-07, 'UTES': -6.821706903486033, 'UTED': -10.283072331783906}"
3,14.840475982028735,14.378132183351257,15.302819780706212,"{'RTH0': 32.1167954607928, 'VOFF': -1.9794543743601996, 'NFACTOR': 0.49639760370903874, 'U0': 0.2692278862059522, 'UA': 2.4883772861582055e-07, 'UB': 1.3756382067964176e-21, 'VSAT': 203223.77827189962, 'LAMBDA': 0.001958001823627766, 'UTE': -0.4044144046179448, 'ETA0': 0.020259912543219176, 'VDSCALE': 4.09954774698288, 'CDSCD': 0.08429729207111589, 'RSC': 0.0002014367857228244, 'RDC': 0.00017548575620979099, 'DELTA': 3.438965227893354, 'THESAT': 2.764362430929942, 'NJGD': 14.808568763792197, 'RNJGD': 18.795180275906116, 'IGDDIO': 7.327756850886277, 'RIGDDIO': 4.8393404675990696e-08, 'NJGS': 19.861969796540226, 'RNJGS': 7.564983898339284, 'IGSDIO': 6.270624938982584, 'RIGSDIO': 1.2400592852225159e-08, 'VSATACCS': 114633.17171694055, 'NS0ACCS': 2.5047080726328302e+20, 'NS0ACCD': 5.950842089715517e+18, 'U0ACCS': 0.11324776619707318, 'U0ACCD': 0.18053848655664562, 'MEXPACCS': 3.5640178544412455, 'MEXPACCD': 1.0225745089453941, 'IMIN': 6.404873139186865e-13, 'GDSMIN': 8.178667429231669e-07, 'UTES': -5.566823131477377, 'UTED': -11.687831904329236}"
4,14.141516640630636,14.032140472646141,14.25089280861513,"{'RTH0': 32.23174125343221, 'VOFF': -1.9834269764255332, 'NFACTOR': 0.2194737852449493, 'U0': 0.2696871346328018, 'UA': 1.9588131921235576e-07, 'UB': 2.5218558016715925e-20, 'VSAT': 216546.26906910885, 'LAMBDA': 0.001234848467538923, 'UTE': -0.5204075194613779, 'ETA0': 0.03157003483337375, 'VDSCALE': 4.552911217344734, 'CDSCD': 0.09422737871970734, 'RSC': 0.000299459005086407, 'RDC': 0.0002580516333189942, 'DELTA': 3.3568484831626426, 'THESAT': 2.422683709559622, 'NJGD': 13.994075584697033, 'RNJGD': 19.3372095555136, 'IGDDIO': 8.994043178530317, 'RIGDDIO': 1.588117007066485e-08, 'NJGS': 18.904125443693953, 'RNJGS': 7.888247425225605, 'IGSDIO': 7.461404669294478, 'RIGSDIO': 2.2892248497152443e-08, 'VSATACCS': 111355.22660617788, 'NS0ACCS': 3.415384774370864e+20, 'NS0ACCD': 9.008473246076802e+18, 'U0ACCS': 0.14746799872535407, 'U0ACCD': 0.17466353236776888, 'MEXPACCS': 2.671017742506395, 'MEXPACCD': 2.477874004712133, 'IMIN': 3.578367017296331e-13, 'GDSMIN': 6.5635279498691e-07, 'UTES': -8.70644018334793, 'UTED': -12.626645932069993}"
5,13.705423850809362,13.706678409413616,13.704169292205108,"{'RTH0': 32.38572782956108, 'VOFF': -1.9876264393308956, 'NFACTOR': 0.30680826728018334, 'U0': 0.25620708558404964, 'UA': 1.8017037078445508e-07, 'UB': 2.2110269503167422e-21, 'VSAT': 196667.40291551017, 'LAMBDA': 0.002785531072604785, 'UTE': -0.35623746154247876, 'ETA0': 0.03786589503368981, 'VDSCALE': 5.954503293456469, 'CDSCD': 0.10466847918584964, 'RSC': 0.00028447017755301894, 'RDC': 0.0002875129212670458, 'DELTA': 3.220688727344015, 'THESAT': 2.0823335619347016, 'NJGD': 13.259250013363973, 'RNJGD': 19.213154757127807, 'IGDDIO': 8.52381445983129, 'RIGDDIO': 3.5833305934742026e-08, 'NJGS': 19.653999618028863, 'RNJGS': 9.14253354533761, 'IGSDIO': 7.2445530897341985, 'RIGSDIO': 2.1887468794772324e-08, 'VSATACCS': 130444.17200080623, 'NS0ACCS': 3.155337135374235e+20, 'NS0ACCD': 7.866515090194234e+18, 'U0ACCS': 0.13516354037875805, 'U0ACCD': 0.17007311711876244, 'MEXPACCS': 2.0924549734656095, 'MEXPACCD': 1.8560819936207844, 'IMIN': 7.605349572997924e-13, 'GDSMIN': 8.589874124752188e-07, 'UTES': -8.007092280524441, 'UTED': -10.546183696839286}"
6,15.054972079517555,14.359744380863363,15.750199778171746,"{'RTH0': 31.584531622315335, 'VOFF': -2.0216667716623182, 'NFACTOR': 0.18625465401826677, 'U0': 0.25180775244282344, 'UA': 2.3910501052948234e-07, 'UB': 3.4444867921902584e-20, 'VSAT': 178579.1129875709, 'LAMBDA': 0.0016762121870755292, 'UTE': -0.42566542014746445, 'ETA0': 0.028741018069355292, 'VDSCALE': 5.511514868563136, 'CDSCD': 0.08440327708465317, 'RSC': 0.00022984938965662556, 'RDC': 0.00015413082761502685, 'DELTA': 3.051365857217208, 'THESAT': 2.9814180095068243, 'NJGD': 14.95438386675526, 'RNJGD': 18.489386240447, 'IGDDIO': 8.519799234709183, 'RIGDDIO': 1.027695611870433e-08, 'NJGS': 19.5007720214601, 'RNJGS': 8.479951071877855, 'IGSDIO': 7.078970945490255, 'RIGSDIO': 1.853606955738369e-08, 'VSATACCS': 127625.92000338243, 'NS0ACCS': 2.3363670257441938e+20, 'NS0ACCD': 6.812882706398154e+18, 'U0ACCS': 0.1327514524607829, 'U0ACCD': 0.18488944858737455, 'MEXPACCS': 3.2090142785455704, 'MEXPACCD': 2.925932808658189, 'IMIN': 3.899888771218484e-13, 'GDSMIN': 6.359602191083906e-07, 'UTES': -7.7352504651391385, 'UTED': -11.495062877581036}"
7,15.189648343394747,14.539265872017507,15.840030814771989,"{'RTH0': 31.77710724234306, 'VOFF': -2.008955604726621, 'NFACTOR': 0.4230532638873077, 'U0': 0.29326078571417347, 'UA': 4.525077507813042e-07, 'UB': 2.9211194298355287e-21, 'VSAT': 199612.28689897564, 'LAMBDA': 0.0010921080874548128, 'UTE': -0.4162086402035739, 'ETA0': 0.027786707966249453, 'VDSCALE': 5.135260507204155, 'CDSCD': 0.07426265624762017, 'RSC': 0.00017920352563892584, 'RDC': 0.00010054684681447013, 'DELTA': 3.18139078188804, 'THESAT': 2.0420527821663677, 'NJGD': 15.009997757429048, 'RNJGD': 19.486588105623117, 'IGDDIO': 7.003105442246188, 'RIGDDIO': 3.2716070811511697e-08, 'NJGS': 17.867732419636475, 'RNJGS': 8.301676035199025, 'IGSDIO': 7.545149812274707, 'RIGSDIO': 1.5068528647919717e-08, 'VSATACCS': 129009.42142186234, 'NS0ACCS': 2.3321217527231077e+20, 'NS0ACCD': 8.982161903043979e+18, 'U0ACCS': 0.13055215102932402, 'U0ACCD': 0.17913238831867137, 'MEXPACCS': 3.75152944734626, 'MEXPACCD': 1.4190115144483006, 'IMIN': 9.349014931389385e-13, 'GDSMIN': 1.3965847286539176e-07, 'UTES': -7.435977156393948, 'UTED': -10.60973044587838}"
8,13.316562049958065,13.780820178890245,12.852303921025886,"{'RTH0': 31.633017582436818, 'VOFF': -1.950455108951715, 'NFACTOR': 0.4690161885012746, 'U0': 0.28476689470876937, 'UA': 2.844429945935358e-08, 'UB': 2.6477698567433637e-20, 'VSAT': 197720.21399710665, 'LAMBDA': 0.0017989467906901731, 'UTE': -0.3961337206570296, 'ETA0': 0.0228688215971665, 'VDSCALE': 5.793619184519878, 'CDSCD': 0.056462361489762296, 'RSC': 0.0001077422298795216, 'RDC': 0.00015632480484978678, 'DELTA': 4.6233566891260445, 'THESAT': 2.889007362718684, 'NJGD': 13.760954145453336, 'RNJGD': 17.462746133468553, 'IGDDIO': 8.410146987915565, 'RIGDDIO': 4.9180836048617305e-08, 'NJGS': 18.46662258233481, 'RNJGS': 8.547180533254252, 'IGSDIO': 7.65178551526953, 'RIGSDIO': 3.706760846172091e-08, 'VSATACCS': 121784.10756163116, 'NS0ACCS': 2.7233128212944555e+20, 'NS0ACCD': 5.789134217296047e+18, 'U0ACCS': 0.14002010540275078, 'U0ACCD': 0.15421511217708114, 'MEXPACCS': 3.4325225570146025, 'MEXPACCD': 1.656225140837773, 'IMIN': 4.105555035225613e-13, 'GDSMIN': 6.452152172777351e-07, 'UTES': -9.561005577637777, 'UTED': -12.32588384277972}"
9,15.607044421782398,14.781972465319845,16.43211637824495,"{'RTH0': 32.04805204041152, 'VOFF': -2.0494678995022255, 'NFACTOR': 0.17573521913067186, 'U0': 0.2874948638566882, 'UA': 4.722742366750718e-07, 'UB': 4.776149396911725e-20, 'VSAT': 187442.97508193512, 'LAMBDA': 0.0028893928246062944, 'UTE': -0.341685076465106, 'ETA0': 0.024691453100020622, 'VDSCALE': 5.365632429526215, 'CDSCD': 0.058862633094317204, 'RSC': 0.0002764321429133246, 'RDC': 0.00020343218189947674, 'DELTA': 4.733618403037271, 'THESAT': 2.2088424327508474, 'NJGD': 13.344725053082913, 'RNJGD': 18.272281231354395, 'IGDDIO': 8.523300176596333, 'RIGDDIO': 2.9789089709772457e-08, 'NJGS': 19.765407230849835, 'RNJGS': 7.5834055413880765, 'IGSDIO': 7.739642690683482, 'RIGSDIO': 3.942791209787021e-08, 'VSATACCS': 126856.16800658577, 'NS0ACCS': 4.4429844734609254e+20, 'NS0ACCD': 9.579639218652238e+18, 'U0ACCS': 0.10476611837801739, 'U0ACCD': 0.1721053751526307, 'MEXPACCS': 3.781179599690689, 'MEXPACCD': 1.547781895544418, 'IMIN': 5.779247312532065e-13, 'GDSMIN': 5.372199872492508e-07, 'UTES': -6.049486696294488, 'UTED': -11.924720620351486}"
